b,30.83,0,u,g,w,v,1.25,t,t.1,01,f,g.1,00202,0.1
1,244,1.0,2,1,7,1,2.25,1,0,0,1,0,0,300
1,134,1.04,2,1,2,8,2.5,1,1,5,1,0,99,1430
2,282,7.625,2,1,13,4,15.5,1,1,12,0,0,0,790
1,71,0.75,2,1,2,8,2.0,0,1,2,1,0,67,394
1,82,11.5,3,3,9,4,3.0,0,0,0,1,0,2,16
2,65,0.585,3,3,6,3,0.0,0,0,0,0,0,31,0
2,124,0.585,3,3,3,8,0.25,1,1,2,0,0,89,500
2,347,5.5,2,1,0,0,0.54,1,0,0,0,0,0,340
2,84,0.665,2,1,2,8,0.165,0,0,0,0,0,31,0
2,284,12.0,2,1,10,8,16.0,1,0,0,0,2,34,0
2,194,2.5,3,3,13,8,3.0,0,0,0,0,2,67,0
2,35,9.5,2,1,11,8,1.0,1,0,0,1,0,17,400
1,31,9.54,2,1,1,8,0.085,1,0,0,0,0,31,0
1,300,6.5,2,1,7,1,3.085,0,0,0,1,0,20,0
1,34,0.585,3,3,1,8,0.585,1,0,0,1,0,52,0
2,187,1.54,2,1,3,8,1.54,1,1,1,1,0,153,50000
2,195,2.5,2,1,13,8,0.0,1,0,0,1,0,82,200
2,35,10.915,2,1,2,1,0.585,0,1,2,1,0,67,7
2,8,0.835,2,1,10,8,0.085,1,0,0,0,2,67,0
1,98,2.085,2,1,2,4,2.75,1,0,0,1,0,114,1
2,166,1.75,3,3,5,4,0.04,1,0,0,1,0,124,0
2,266,8.5,2,1,3,4,14.0,1,1,1,1,0,25,2000
2,204,18.125,2,1,13,8,0.085,0,0,0,0,0,104,3552
2,142,0.75,3,3,2,8,0.04,0,0,0,0,0,83,0
2,34,0.0,3,3,10,1,0.0,0,0,0,1,2,149,1
2,174,2.5,2,1,3,4,2.75,1,1,6,0,0,52,2072
2,90,1.25,2,1,2,8,0.25,0,0,0,0,0,34,0
2,33,1.75,3,3,2,8,2.335,0,0,0,1,0,35,6
1,49,10.25,2,1,11,8,0.71,1,1,2,1,0,13,0
1,97,12.5,2,1,4,8,1.0,0,0,0,1,0,62,1062
2,103,0.75,2,1,2,1,0.25,1,0,0,0,0,110,23
1,30,7.5,2,1,11,8,2.71,1,1,5,0,0,169,26726
1,34,8.585,2,1,3,4,0.75,1,1,7,0,0,29,0
1,275,0.75,2,1,11,4,2.75,1,1,1,0,0,107,892
2,114,2.0,2,1,4,8,0.75,0,0,0,1,0,23,0
2,77,0.0,2,1,3,8,0.085,1,0,0,0,0,0,0
1,103,0.5,2,1,2,4,0.875,1,0,0,1,0,148,0
2,200,0.75,2,1,9,8,1.5,0,0,0,1,0,80,0
2,128,0.125,3,3,9,8,0.085,0,0,0,0,0,73,2100
2,136,15.0,2,1,2,4,5.335,1,1,11,0,0,0,2283
2,330,14.5,2,1,6,3,18.0,1,1,15,1,0,0,1000
1,304,7.0,2,1,1,4,3.0,0,0,0,0,0,0,0
2,1,7.0,2,1,5,8,1.0,0,0,0,0,0,158,0
2,22,6.75,3,3,10,8,0.04,0,0,0,0,0,44,0
2,28,10.29,2,1,6,3,0.415,0,0,0,0,0,23,0
1,262,6.665,2,1,11,8,7.375,1,1,3,1,0,0,0
2,61,0.25,2,1,4,4,0.665,1,0,0,1,0,0,0
2,121,12.5,2,1,1,1,0.25,0,0,0,1,0,162,0
2,114,4.5,3,3,2,1,2.5,0,0,0,0,0,67,1210
2,348,3.0,3,3,7,1,7.0,0,0,0,0,0,0,1
1,135,3.75,2,1,2,8,1.085,1,1,1,1,0,118,0
2,67,11.0,2,1,13,8,2.0,1,1,1,0,0,23,278
2,190,4.04,3,3,7,1,8.5,1,1,7,1,0,66,0
1,153,10.665,2,1,11,4,0.085,0,1,12,1,0,40,3
2,31,3.54,3,3,6,3,0.0,0,0,0,1,0,62,1
2,47,10.0,3,3,2,8,2.5,1,0,0,0,2,10,0
2,53,0.875,3,3,2,4,0.25,0,0,0,0,0,95,204
1,242,2.04,3,3,11,4,0.125,1,1,23,1,0,142,1236
1,165,3.125,2,1,6,3,3.04,0,1,2,1,0,67,4
1,46,0.835,2,1,11,8,1.585,1,1,1,0,0,0,0
2,133,3.625,2,1,1,8,0.25,0,0,0,1,0,31,0
0,111,2.71,3,3,0,0,0.085,0,0,0,0,2,23,0
2,303,1.5,2,1,4,8,3.75,0,0,0,1,0,0,350
2,123,0.75,2,1,11,4,0.165,0,0,0,1,0,74,251
2,48,0.415,2,1,2,8,0.125,0,0,0,0,0,0,44
