0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
57,7,0,1,0,739,1,0,2,20,8,352,5,-1,0,3,57,7,0,1,0,739,1,0,2,20,8,352,5,-1,0,3,57,7,0,1,0,739,1,0,2,20,8,352,5,-1,0,3,57,7,0,1,0,739,1,0,2,20,8,352,5,-1,0,3
53,1,1,3,0,111,0,0,2,20,6,39,3,-1,0,3,53,1,1,3,0,111,0,0,2,20,6,39,3,-1,0,3,53,1,1,3,0,111,0,0,2,20,6,39,3,-1,0,3,53,1,1,3,0,111,0,0,2,20,6,39,3,-1,0,3
47,1,0,0,0,603,1,1,0,8,8,1080,1,-1,0,3,47,1,0,0,0,603,1,1,0,8,8,1080,1,-1,0,3,47,1,0,0,0,603,1,1,0,8,8,1080,1,-1,0,3,47,1,0,0,0,603,1,1,0,8,8,1080,1,-1,0,3
38,0,1,1,0,-33,0,0,0,29,4,162,1,-1,0,3,38,0,1,1,0,-33,0,0,0,29,4,162,1,-1,0,3,38,0,1,1,0,-33,0,0,0,29,4,162,1,-1,0,3,38,0,1,1,0,-33,0,0,0,29,4,162,1,-1,0,3
30,10,2,2,0,1159,0,0,1,5,6,366,1,-1,0,3,30,10,2,2,0,1159,0,0,1,5,6,366,1,-1,0,3,30,10,2,2,0,1159,0,0,1,5,6,366,1,-1,0,3,30,10,2,2,0,1159,0,0,1,5,6,366,1,-1,0,3
37,1,2,2,0,344,0,0,2,20,6,407,2,-1,0,3,37,1,2,2,0,344,0,0,2,20,6,407,2,-1,0,3,37,1,2,2,0,344,0,0,2,20,6,407,2,-1,0,3,37,1,2,2,0,344,0,0,2,20,6,407,2,-1,0,3
47,4,2,2,0,86,0,0,0,30,0,387,3,87,1,2,47,4,2,2,0,86,0,0,0,30,0,387,3,87,1,2,47,4,2,2,0,86,0,0,0,30,0,387,3,87,1,2,47,4,2,2,0,86,0,0,0,30,0,387,3,87,1,2
24,0,2,1,0,-386,1,0,0,5,8,180,1,-1,0,3,24,0,2,1,0,-386,1,0,0,5,8,180,1,-1,0,3,24,0,2,1,0,-386,1,0,0,5,8,180,1,-1,0,3,24,0,2,1,0,-386,1,0,0,5,8,180,1,-1,0,3
63,5,1,1,0,2734,0,0,0,7,0,72,5,-1,0,3,63,5,1,1,0,2734,0,0,0,7,0,72,5,-1,0,3,63,5,1,1,0,2734,0,0,0,7,0,72,5,-1,0,3,63,5,1,1,0,2734,0,0,0,7,0,72,5,-1,0,3
33,9,2,1,0,199,0,0,0,18,1,178,4,-1,0,3,33,9,2,1,0,199,0,0,0,18,1,178,4,-1,0,3,33,9,2,1,0,199,0,0,0,18,1,178,4,-1,0,3,33,9,2,1,0,199,0,0,0,18,1,178,4,-1,0,3
30,4,1,2,0,882,0,0,0,22,1,102,6,-1,0,3,30,4,1,2,0,882,0,0,0,22,1,102,6,-1,0,3,30,4,1,2,0,882,0,0,0,22,1,102,6,-1,0,3,30,4,1,2,0,882,0,0,0,22,1,102,6,-1,0,3
40,9,0,2,0,0,0,0,2,17,6,522,1,-1,0,3,40,9,0,2,0,0,0,0,2,17,6,522,1,-1,0,3,40,9,0,2,0,0,0,0,2,17,6,522,1,-1,0,3,40,9,0,2,0,0,0,0,2,17,6,522,1,-1,0,3
46,1,1,0,0,564,1,0,0,29,5,124,2,-1,0,3,46,1,1,0,0,564,1,0,0,29,5,124,2,-1,0,3,46,1,1,0,0,564,1,0,0,29,5,124,2,-1,0,3,46,1,1,0,0,564,1,0,0,29,5,124,2,-1,0,3
36,1,1,1,0,342,1,1,2,21,8,88,3,-1,0,3,36,1,1,1,0,342,1,1,2,21,8,88,3,-1,0,3,36,1,1,1,0,342,1,1,2,21,8,88,3,-1,0,3,36,1,1,1,0,342,1,1,2,21,8,88,3,-1,0,3
39,6,1,2,0,0,0,0,2,11,6,904,4,-1,0,3,39,6,1,2,0,0,0,0,2,11,6,904,4,-1,0,3,39,6,1,2,0,0,0,0,2,11,6,904,4,-1,0,3,39,6,1,2,0,0,0,0,2,11,6,904,4,-1,0,3
30,4,2,2,0,499,1,0,0,13,1,92,2,90,1,0,30,4,2,2,0,499,1,0,0,13,1,92,2,90,1,0,30,4,2,2,0,499,1,0,0,13,1,92,2,90,1,0,30,4,2,2,0,499,1,0,0,13,1,92,2,90,1,0
37,4,1,2,0,3556,0,0,0,9,9,268,1,-1,0,3,37,4,1,2,0,3556,0,0,0,9,9,268,1,-1,0,3,37,4,1,2,0,3556,0,0,0,9,9,268,1,-1,0,3,37,4,1,2,0,3556,0,0,0,9,9,268,1,-1,0,3
51,3,1,1,0,603,0,0,0,25,1,122,3,-1,0,3,51,3,1,1,0,603,0,0,0,25,1,122,3,-1,0,3,51,3,1,1,0,603,0,0,0,25,1,122,3,-1,0,3,51,3,1,1,0,603,0,0,0,25,1,122,3,-1,0,3
47,7,2,3,0,1784,0,0,0,19,10,385,2,-1,0,3,47,7,2,3,0,1784,0,0,0,19,10,385,2,-1,0,3,47,7,2,3,0,1784,0,0,0,19,10,385,2,-1,0,3,47,7,2,3,0,1784,0,0,0,19,10,385,2,-1,0,3
30,9,2,1,0,133,1,0,0,29,4,113,2,-1,0,3,30,9,2,1,0,133,1,0,0,29,4,113,2,-1,0,3,30,9,2,1,0,133,1,0,0,29,4,113,2,-1,0,3,30,9,2,1,0,133,1,0,0,29,4,113,2,-1,0,3
42,1,1,0,0,517,1,0,0,31,5,101,7,-1,0,3,42,1,1,0,0,517,1,0,0,31,5,101,7,-1,0,3,42,1,1,0,0,517,1,0,0,31,5,101,7,-1,0,3,42,1,1,0,0,517,1,0,0,31,5,101,7,-1,0,3
35,7,1,1,0,128,1,0,0,12,8,136,1,-1,0,3,35,7,1,1,0,128,1,0,0,12,8,136,1,-1,0,3,35,7,1,1,0,128,1,0,0,12,8,136,1,-1,0,3,35,7,1,1,0,128,1,0,0,12,8,136,1,-1,0,3
40,0,1,2,0,1108,0,0,0,26,10,61,2,76,3,0,40,0,1,2,0,1108,0,0,0,26,10,61,2,76,3,0,40,0,1,2,0,1108,0,0,0,26,10,61,2,76,3,0,40,0,1,2,0,1108,0,0,0,26,10,61,2,76,3,0
25,9,2,2,0,226,0,0,0,7,5,366,2,-1,0,3,25,9,2,2,0,226,0,0,0,7,5,366,2,-1,0,3,25,9,2,2,0,226,0,0,0,7,5,366,2,-1,0,3,25,9,2,2,0,226,0,0,0,7,5,366,2,-1,0,3
51,2,1,1,0,0,0,0,2,30,8,510,3,-1,0,3,51,2,1,1,0,0,0,0,2,30,8,510,3,-1,0,3,51,2,1,1,0,0,0,0,2,30,8,510,3,-1,0,3,51,2,1,1,0,0,0,0,2,30,8,510,3,-1,0,3
40,9,2,2,0,539,0,0,0,14,1,121,2,-1,0,3,40,9,2,2,0,539,0,0,0,14,1,121,2,-1,0,3,40,9,2,2,0,539,0,0,0,14,1,121,2,-1,0,3,40,9,2,2,0,539,0,0,0,14,1,121,2,-1,0,3
35,9,1,1,0,6,1,0,0,11,8,204,2,348,2,0,35,9,1,1,0,6,1,0,0,11,8,204,2,348,2,0,35,9,1,1,0,6,1,0,0,11,8,204,2,348,2,0,35,9,1,1,0,6,1,0,0,11,8,204,2,348,2,0
31,6,2,1,0,360,1,0,2,26,8,592,4,-1,0,3,31,6,2,1,0,360,1,0,2,26,8,592,4,-1,0,3,31,6,2,1,0,360,1,0,2,26,8,592,4,-1,0,3,31,6,2,1,0,360,1,0,2,26,8,592,4,-1,0,3
43,1,1,1,0,514,1,1,0,20,0,34,2,-1,0,3,43,1,1,1,0,514,1,1,0,20,0,34,2,-1,0,3,43,1,1,1,0,514,1,1,0,20,0,34,2,-1,0,3,43,1,1,1,0,514,1,1,0,20,0,34,2,-1,0,3
23,7,2,1,0,292,1,0,0,13,8,437,2,-1,0,3,23,7,2,1,0,292,1,0,0,13,8,437,2,-1,0,3,23,7,2,1,0,292,1,0,0,13,8,437,2,-1,0,3,23,7,2,1,0,292,1,0,0,13,8,437,2,-1,0,3
48,1,1,1,0,238,1,1,0,2,6,118,2,81,1,2,48,1,1,1,0,238,1,1,0,2,6,118,2,81,1,2,48,1,1,1,0,238,1,1,0,2,6,118,2,81,1,2,48,1,1,1,0,238,1,1,0,2,6,118,2,81,1,2
33,9,1,2,0,-258,0,0,0,8,5,362,1,-1,0,3,33,9,1,2,0,-258,0,0,0,8,5,362,1,-1,0,3,33,9,1,2,0,-258,0,0,0,8,5,362,1,-1,0,3,33,9,1,2,0,-258,0,0,0,8,5,362,1,-1,0,3
46,0,1,3,0,2115,1,0,2,20,6,10,3,-1,0,3,46,0,1,3,0,2115,1,0,2,20,6,10,3,-1,0,3,46,0,1,3,0,2115,1,0,2,20,6,10,3,-1,0,3,46,0,1,3,0,2115,1,0,2,20,6,10,3,-1,0,3
33,1,1,3,0,-923,1,0,1,31,5,237,9,-1,0,3,33,1,1,3,0,-923,1,0,1,31,5,237,9,-1,0,3,33,1,1,3,0,-923,1,0,1,31,5,237,9,-1,0,3,33,1,1,3,0,-923,1,0,1,31,5,237,9,-1,0,3
41,9,1,1,0,0,0,0,0,11,7,101,1,-1,0,3,41,9,1,1,0,0,0,0,0,11,7,101,1,-1,0,3,41,9,1,1,0,0,0,0,0,11,7,101,1,-1,0,3,41,9,1,1,0,0,0,0,0,11,7,101,1,-1,0,3
39,9,1,1,0,13165,1,1,0,22,1,147,4,-1,0,3,39,9,1,1,0,13165,1,1,0,22,1,147,4,-1,0,3,39,9,1,1,0,13165,1,1,0,22,1,147,4,-1,0,3,39,9,1,1,0,13165,1,1,0,22,1,147,4,-1,0,3
26,1,1,1,0,-384,1,1,0,18,5,143,1,-1,0,3,26,1,1,1,0,-384,1,1,0,18,5,143,1,-1,0,3,26,1,1,1,0,-384,1,1,0,18,5,143,1,-1,0,3,26,1,1,1,0,-384,1,1,0,18,5,143,1,-1,0,3
38,1,1,1,0,266,1,0,2,7,8,287,1,-1,0,3,38,1,1,1,0,266,1,0,2,7,8,287,1,-1,0,3,38,1,1,1,0,266,1,0,2,7,8,287,1,-1,0,3,38,1,1,1,0,266,1,0,2,7,8,287,1,-1,0,3
29,4,2,2,0,7578,0,0,0,22,8,46,3,-1,0,3,29,4,2,2,0,7578,0,0,0,22,8,46,3,-1,0,3,29,4,2,2,0,7578,0,0,0,22,8,46,3,-1,0,3,29,4,2,2,0,7578,0,0,0,22,8,46,3,-1,0,3
50,6,1,1,0,111,0,0,0,11,1,277,3,-1,0,3,50,6,1,1,0,111,0,0,0,11,1,277,3,-1,0,3,50,6,1,1,0,111,0,0,0,11,1,277,3,-1,0,3,50,6,1,1,0,111,0,0,0,11,1,277,3,-1,0,3
59,5,0,1,0,93,0,1,0,8,1,108,2,-1,0,3,59,5,0,1,0,93,0,1,0,8,1,108,2,-1,0,3,59,5,0,1,0,93,0,1,0,8,1,108,2,-1,0,3,59,5,0,1,0,93,0,1,0,8,1,108,2,-1,0,3
35,1,1,0,0,1749,1,0,0,18,8,63,5,363,11,1,35,1,1,0,0,1749,1,0,0,18,8,63,5,363,11,1,35,1,1,0,0,1749,1,0,0,18,8,63,5,363,11,1,35,1,1,0,0,1749,1,0,0,18,8,63,5,363,11,1
33,1,1,1,0,328,1,0,0,18,9,160,2,182,1,0,33,1,1,1,0,328,1,0,0,18,9,160,2,182,1,0,33,1,1,1,0,328,1,0,0,18,9,160,2,182,1,0,33,1,1,1,0,328,1,0,0,18,9,160,2,182,1,0
39,1,2,1,0,217,1,0,2,9,8,107,1,-1,0,3,39,1,2,1,0,217,1,0,2,9,8,107,1,-1,0,3,39,1,2,1,0,217,1,0,2,9,8,107,1,-1,0,3,39,1,2,1,0,217,1,0,2,9,8,107,1,-1,0,3
34,9,2,1,0,2131,1,0,0,13,8,53,1,-1,0,3,34,9,2,1,0,2131,1,0,0,13,8,53,1,-1,0,3,34,9,2,1,0,2131,1,0,0,13,8,53,1,-1,0,3,34,9,2,1,0,2131,1,0,0,13,8,53,1,-1,0,3
48,0,2,1,0,3531,1,0,0,20,0,81,2,287,6,0,48,0,2,1,0,3531,1,0,0,20,0,81,2,287,6,0,48,0,2,1,0,3531,1,0,0,20,0,81,2,287,6,0,48,0,2,1,0,3531,1,0,0,20,0,81,2,287,6,0
77,5,1,2,0,7802,0,0,1,1,3,483,2,-1,0,3,77,5,1,2,0,7802,0,0,1,1,3,483,2,-1,0,3,77,5,1,2,0,7802,0,0,1,1,3,483,2,-1,0,3,77,5,1,2,0,7802,0,0,1,1,3,483,2,-1,0,3
32,4,1,2,0,273,1,1,0,18,5,97,3,-1,0,3,32,4,1,2,0,273,1,1,0,18,5,97,3,-1,0,3,32,4,1,2,0,273,1,1,0,18,5,97,3,-1,0,3,32,4,1,2,0,273,1,1,0,18,5,97,3,-1,0,3
26,9,2,1,0,-859,1,0,2,19,6,297,1,-1,0,3,26,9,2,1,0,-859,1,0,2,19,6,297,1,-1,0,3,26,9,2,1,0,-859,1,0,2,19,6,297,1,-1,0,3,26,9,2,1,0,-859,1,0,2,19,6,297,1,-1,0,3
41,9,2,2,0,15302,0,0,0,19,1,121,4,-1,0,3,41,9,2,2,0,15302,0,0,0,19,1,121,4,-1,0,3,41,9,2,2,0,15302,0,0,0,19,1,121,4,-1,0,3,41,9,2,2,0,15302,0,0,0,19,1,121,4,-1,0,3
44,1,1,1,0,23,1,0,2,12,8,388,2,-1,0,3,44,1,1,1,0,23,1,0,2,12,8,388,2,-1,0,3,44,1,1,1,0,23,1,0,2,12,8,388,2,-1,0,3,44,1,1,1,0,23,1,0,2,12,8,388,2,-1,0,3
44,1,1,0,0,0,1,0,2,14,8,220,7,-1,0,3,44,1,1,0,0,0,1,0,2,14,8,220,7,-1,0,3,44,1,1,0,0,0,1,0,2,14,8,220,7,-1,0,3,44,1,1,0,0,0,1,0,2,14,8,220,7,-1,0,3
31,1,1,0,0,-848,1,0,2,23,8,559,3,-1,0,3,31,1,1,0,0,-848,1,0,2,23,8,559,3,-1,0,3,31,1,1,0,0,-848,1,0,2,23,8,559,3,-1,0,3,31,1,1,0,0,-848,1,0,2,23,8,559,3,-1,0,3
43,1,1,1,0,470,1,1,2,26,8,185,1,-1,0,3,43,1,1,1,0,470,1,1,2,26,8,185,1,-1,0,3,43,1,1,1,0,470,1,1,2,26,8,185,1,-1,0,3,43,1,1,1,0,470,1,1,2,26,8,185,1,-1,0,3
32,4,2,2,0,7419,1,0,2,18,6,248,29,-1,0,3,32,4,2,2,0,7419,1,0,2,18,6,248,29,-1,0,3,32,4,2,2,0,7419,1,0,2,18,6,248,29,-1,0,3,32,4,2,2,0,7419,1,0,2,18,6,248,29,-1,0,3
57,9,1,0,0,1276,1,0,0,30,4,44,1,200,4,0,57,9,1,0,0,1276,1,0,0,30,4,44,1,200,4,0,57,9,1,0,0,1276,1,0,0,30,4,44,1,200,4,0,57,9,1,0,0,1276,1,0,0,30,4,44,1,200,4,0
32,1,1,1,0,-63,1,0,2,30,8,198,1,-1,0,3,32,1,1,1,0,-63,1,0,2,30,8,198,1,-1,0,3,32,1,1,1,0,-63,1,0,2,30,8,198,1,-1,0,3,32,1,1,1,0,-63,1,0,2,30,8,198,1,-1,0,3
28,7,2,1,0,339,0,0,0,3,2,350,1,182,1,2,28,7,2,1,0,339,0,0,0,3,2,350,1,182,1,2,28,7,2,1,0,339,0,0,0,3,2,350,1,182,1,2,28,7,2,1,0,339,0,0,0,3,2,350,1,182,1,2
29,7,1,1,0,23,0,0,0,17,5,57,4,-1,0,3,29,7,1,1,0,23,0,0,0,17,5,57,4,-1,0,3,29,7,1,1,0,23,0,0,0,17,5,57,4,-1,0,3,29,7,1,1,0,23,0,0,0,17,5,57,4,-1,0,3
40,1,1,0,0,177,1,1,1,21,5,742,4,-1,0,3,40,1,1,0,0,177,1,1,1,21,5,742,4,-1,0,3,40,1,1,0,0,177,1,1,1,21,5,742,4,-1,0,3,40,1,1,0,0,177,1,1,1,21,5,742,4,-1,0,3
49,9,1,1,0,1712,1,0,0,30,5,155,3,-1,0,3,49,9,1,1,0,1712,1,0,0,30,5,155,3,-1,0,3,49,9,1,1,0,1712,1,0,0,30,5,155,3,-1,0,3,49,9,1,1,0,1712,1,0,0,30,5,155,3,-1,0,3
36,6,1,2,0,254,1,0,1,17,5,202,5,-1,0,3,36,6,1,2,0,254,1,0,1,17,5,202,5,-1,0,3,36,6,1,2,0,254,1,0,1,17,5,202,5,-1,0,3,36,6,1,2,0,254,1,0,1,17,5,202,5,-1,0,3
45,7,1,1,0,0,0,0,0,11,5,106,2,-1,0,3,45,7,1,1,0,0,0,0,0,11,5,106,2,-1,0,3,45,7,1,1,0,0,0,0,0,11,5,106,2,-1,0,3,45,7,1,1,0,0,0,0,0,11,5,106,2,-1,0,3
58,1,1,1,0,3148,0,1,0,13,1,57,2,-1,0,3,58,1,1,1,0,3148,0,1,0,13,1,57,2,-1,0,3,58,1,1,1,0,3148,0,1,0,13,1,57,2,-1,0,3,58,1,1,1,0,3148,0,1,0,13,1,57,2,-1,0,3
49,2,1,0,0,10772,0,0,0,8,1,89,2,-1,0,3,49,2,1,0,0,10772,0,0,0,8,1,89,2,-1,0,3,49,2,1,0,0,10772,0,0,0,8,1,89,2,-1,0,3,49,2,1,0,0,10772,0,0,0,8,1,89,2,-1,0,3
43,4,0,1,0,229,1,1,0,13,8,163,1,-1,0,3,43,4,0,1,0,229,1,1,0,13,8,163,1,-1,0,3,43,4,0,1,0,229,1,1,0,13,8,163,1,-1,0,3,43,4,0,1,0,229,1,1,0,13,8,163,1,-1,0,3
57,5,0,2,0,66,1,0,0,11,8,798,2,-1,0,3,57,5,0,2,0,66,1,0,0,11,8,798,2,-1,0,3,57,5,0,2,0,66,1,0,0,11,8,798,2,-1,0,3,57,5,0,2,0,66,1,0,0,11,8,798,2,-1,0,3
38,1,1,1,0,748,1,0,0,31,1,98,3,-1,0,3,38,1,1,1,0,748,1,0,0,31,1,98,3,-1,0,3,38,1,1,1,0,748,1,0,0,31,1,98,3,-1,0,3,38,1,1,1,0,748,1,0,0,31,1,98,3,-1,0,3
35,4,2,2,0,992,0,1,0,1,11,238,1,-1,0,3,35,4,2,2,0,992,0,1,0,1,11,238,1,-1,0,3,35,4,2,2,0,992,0,1,0,1,11,238,1,-1,0,3,35,4,2,2,0,992,0,1,0,1,11,238,1,-1,0,3
52,7,1,2,0,2801,1,1,2,17,6,311,2,-1,0,3,52,7,1,2,0,2801,1,1,2,17,6,311,2,-1,0,3,52,7,1,2,0,2801,1,1,2,17,6,311,2,-1,0,3,52,7,1,2,0,2801,1,1,2,17,6,311,2,-1,0,3
71,5,1,3,0,1741,0,0,0,18,1,177,1,-1,0,3,71,5,1,3,0,1741,0,0,0,18,1,177,1,-1,0,3,71,5,1,3,0,1741,0,0,0,18,1,177,1,-1,0,3,71,5,1,3,0,1741,0,0,0,18,1,177,1,-1,0,3
32,0,2,2,0,272,1,0,0,7,10,73,2,-1,0,3,32,0,2,2,0,272,1,0,0,7,10,73,2,-1,0,3,32,0,2,2,0,272,1,0,0,7,10,73,2,-1,0,3,32,0,2,2,0,272,1,0,0,7,10,73,2,-1,0,3
25,1,2,1,0,1857,1,0,0,12,10,187,1,91,12,2,25,1,2,1,0,1857,1,0,0,12,10,187,1,91,12,2,25,1,2,1,0,1857,1,0,0,12,10,187,1,91,12,2,25,1,2,1,0,1857,1,0,0,12,10,187,1,91,12,2
32,9,1,1,0,84,0,1,0,29,5,403,3,-1,0,3,32,9,1,1,0,84,0,1,0,29,5,403,3,-1,0,3,32,9,1,1,0,84,0,1,0,29,5,403,3,-1,0,3,32,9,1,1,0,84,0,1,0,29,5,403,3,-1,0,3
